,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-11-13 00:00:00+00:00,0.027676014056812137,-1.32506964853067,1.3804216766442945
2023-11-13 01:00:00+00:00,-0.05524658503574776,-1.4333009507606305,1.322807780689135
2023-11-13 02:00:00+00:00,-0.04225811112878533,-1.4214618266015695,1.3369456043439987
2023-11-13 03:00:00+00:00,-0.030885834375791163,-1.412374396842673,1.3506027280910906
2023-11-13 04:00:00+00:00,-0.05252455034178366,-1.4358843652270552,1.3308352645434878
2023-11-13 05:00:00+00:00,-0.03821204957888866,-1.4231048093938794,1.346680710236102
2023-11-13 06:00:00+00:00,-0.0395968756140481,-1.4257457168485963,1.3465519656205
2023-11-13 07:00:00+00:00,-0.04716307742302591,-1.4343413284952686,1.340015173649217
2023-11-13 08:00:00+00:00,-0.11188402414404217,-1.4999060443819199,1.2761379960938355
2023-11-13 09:00:00+00:00,-0.029151507959093825,-1.4178652190020373,1.3595622030838497
2023-11-13 10:00:00+00:00,0.014738884078443912,-1.3745419061943924,1.4040196743512803
2023-11-13 11:00:00+00:00,0.0025212421347274565,-1.3872245032216322,1.392266987491087
2023-11-13 12:00:00+00:00,0.1022592612852059,-1.2878677318752065,1.4923862544456181
2023-11-13 13:00:00+00:00,0.05257086497913033,-1.3378687559369398,1.4430104858952004
2023-11-13 14:00:00+00:00,0.021559112331741737,-1.3691368786071192,1.4122551032706028
2023-11-13 15:00:00+00:00,-0.004384658934113795,-1.3952908935552712,1.3865215756870435
2023-11-13 16:00:00+00:00,0.03732497077238714,-1.3537536854936545,1.4284036270384286
2023-11-13 17:00:00+00:00,0.018509155144085486,-1.3727109082709825,1.4097292185591535
2023-11-13 18:00:00+00:00,0.006382957324273041,-1.3849530798579452,1.3977189945064914
2023-11-13 19:00:00+00:00,0.022626912801211815,-1.3688042407779584,1.414058066380382
2023-11-13 20:00:00+00:00,0.027531296626872252,-1.3639778681496313,1.4190404614033756
2023-11-13 21:00:00+00:00,0.03568490991981324,-1.3558882376736123,1.427258057513239
2023-11-13 22:00:00+00:00,0.03691861921442332,-1.3547070059536233,1.4285442443824699
2023-11-13 23:00:00+00:00,0.04467695173970351,-1.3469917149306636,1.4363456184100705
